title,author,publisher,publishedAt,image,isbn
은하수를 여행하는 히치하이커를 위한 안내서 2,더글러스 애덤스,책세상,2004-12-20,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F953921%3Ftimestamp%3D20210706191220,9788970134802
퍼펙트 루비 온 레일즈,야마다 요시히로,제이펍,2015-11-30,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1627213%3Ftimestamp%3D20210706193502,9791185890326
이득우의 언리얼 C++ 게임 개발의 정석,이득우,에이콘출판,2018-10-26,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3779501%3Ftimestamp%3D20210706194839,9791161752204
IT 아키텍트가 하지 말아야 할 128가지,니케이시스템즈,로드북,2012-03-15,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1473437%3Ftimestamp%3D20210514152937,9788996659884
은하수를 여행하는 히치하이커를 위한 안내서 5,더글러스 애덤스,책세상,2005-01-15,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F954697%3Ftimestamp%3D20210703182225,9788970134925
이펙티브 자바 3/E,조슈아 블로크,인사이트,2018-11-01,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3782516%3Ftimestamp%3D20210706194813,9788966262281
은하수를 여행하는 히치하이커를 위한 안내서 3,더글러스 애덤스,책세상,2004-12-25,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F954689%3Ftimestamp%3D20210702152114,9788970134819
착한 수학(Good Math),마크 추 캐롤,지앤선,2014-10-13,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1403872%3Ftimestamp%3D20210513155134,9788993827866
이득우의 언리얼 C++ 게임 개발의 정석,이득우,에이콘출판,2018-10-26,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3779501%3Ftimestamp%3D20210706194839,9791161752204
은하수를 여행하는 히치하이커를 위한 안내서 4,더글러스 애덤스,책세상,2005-01-15,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F955295%3Ftimestamp%3D20210702152255,9788970134918
코틀린 동시성 프로그래밍(프로그래밍 언어),미구엘 엔젤 카스티블랑코 토레스,에이콘출판,2020-05-29,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5375292%3Ftimestamp%3D20210706191642,9791161754222
Learning PHP MySQL JavaScript CSS(한국어판)(2판)(에이콘 웹 프로페셔널...,로빈 닉슨,에이콘출판,2013-06-28,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F839333%3Ftimestamp%3D20200606141402,9788960774421
시스코 네트워킹(후니의 쉽게 쓴)(개정증보판 4판),진강훈,성안당,2020-03-16,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5270631%3Ftimestamp%3D20210706193955,9788931589191
거의 모든 IT의 역사,정지훈,메디치미디어,2010-12-07,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1425802%3Ftimestamp%3D20210427144200,9788994612034
처음부터 제대로 배우는 라라벨,맷 스타우퍼,한빛미디어,2020-12-04,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5527803%3Ftimestamp%3D20210705180601,9791162243688
